"id";"trail_id";"subtrail_id";"cabin";"start";"end";"distance";"min_time";"max_time";"stage_order";"start_coordinates";"end_coordinates";"description";"img"
11;1;2;"STF Teusajaure Fjällstuga";"STF Kaitumjaure Fjällstuga";"STF Teusajaure Fjällstuga";9.0;4.0;5;4;"67.74712764117817, 18.295938593991444";"67.6948030558073, 18.15549418342595";"";"http://localhost:3001/images/kungsleden2.jpg"
12;1;2;"STF Teusajaure Fjällstuga";"STF Teusajaure Fjällstuga";"STF Vakkotavare Fjällstuga";15.0;4.0;6;5;"67.6948030558073, 18.15549418342595";"67.58238947564892, 18.10054313918096";"";"http://localhost:3001/images/kungsleden3.jpg"
13;1;2;"STF Saltoluokta fjällstation";"STF Vakkotavare Fjällstuga";"STF Saltoluokta fjällstation";30.0;9.0;11;6;"67.58238947564892, 18.10054313918096";"67.3941305199799, 18.520921731294496";"";"http://localhost:3001/images/kungsleden1.jpg"
14;1;3;"STF Sitojaure Fjällstuga";"STF Saltolukta Fjällstation";"STF Sitojaure Fjällstuga";19.0;6.0;8;1;"67.3941305199799, 18.520921731294496";"67.23164726126019, 18.440959371766123";"";"http://localhost:3001/images/kungsleden2.jpg"
15;1;3;"STF Aktse Fjällstuga";"STF Sitojaure Fjällstuga";"STF Aktse Fjällstuga";10.0;3.0;4;2;"67.23164726126019, 18.440959371766123";"67.14901215563266, 18.305941074954237";"";"http://localhost:3001/images/kungsleden3.jpg"
16;1;3;"STF Pårte Fjällstuga";"STF Aktse Fjällstuga";"STF Pårte Fjällstuga";22.0;7.0;9;3;"67.14901215563266, 18.305941074954237";"67.04298854862925, 17.94302163056488";"";"http://localhost:3001/images/kungsleden1.jpg"
17;1;3;"STF Kvikkjokk Fjällstation";"STF Pårte Fjällstuga";"STF Kvikkjokk Fjällstation";17.0;6.0;8;4;"67.04298854862925, 17.94302163056488";"66.95370348075974, 17.719614910382653";"";"http://localhost:3001/images/kungsleden2.jpg"
18;1;4;"Tsielekjåkkstugan (ej STF)";"STF Kvikkjokk Fjällstation";"Tsielekjåkkstugan";15.0;5.0;7;1;"66.95370348075974, 17.719614910382653";"66.86511108907865, 17.55528463884427";"";"http://localhost:3001/images/kungsleden3.jpg"
19;1;4;"Tält";"Tsielekjåkkstugan";"Piteälven";19.0;7.0;9;2;"66.86511108907865, 17.55528463884427";"66.49514761006643, 17.529867566912973";"";"http://localhost:3001/images/kungsleden1.jpg"
20;1;4;"Tält";"Piteälven";"Gásakláhko";19.0;7.0;7;3;"66.49514761006643, 17.529867566912973";"67.34566, 16.269049";"";"http://localhost:3001/images/kungsleden2.jpg"
21;1;4;"Vuonatjvikens Stugby (ej STF)";"Gásakláhko";"Vuonatjviken";13.0;4.0;6;4;"67.34566, 16.269049";"66.49274751490306, 17.243364606305896";"";"http://localhost:3001/images/kungsleden3.jpg"
22;1;4;"Kyrkans fjällgård Jäkkvik (ej STF, BÅT)";"Vuonatjviken";"Jäckvik";18.0;4.0;6;5;"66.49274751490306, 17.243364606305896";"66.38759446732868, 16.965917873741176";"";"http://localhost:3001/images/kungsleden1.jpg"
23;1;4;"Adolfström stugby (ej STF)";"Jäckvik";"Adolfström";22.0;9.0;10;6;"66.38759446732868, 16.965917873741176";"66.27745065289471, 16.666163286711942";"";"http://localhost:3001/images/kungsleden2.jpg"
24;1;4;"Tält";"Adolfström";"Sjnulttjie raststuga";23.0;7.0;8;7;"66.27745065289471, 16.666163286711942";"66.20986456357241, 16.37724239866723";"";"http://localhost:3001/images/kungsleden3.jpg"
25;1;4;"Tält";"Sjnulttjie raststuga";"Ammarnäs";46.0;14.0;16;8;"66.20986456357241, 16.37724239866723";"65.9603914254623, 16.21200992938912";"";"http://localhost:3001/images/kungsleden1.jpg"
26;1;5;"STF Viterskalet fjällstuga";"Hemavan";"Viterskalet";10.0;3.0;4;1;"65.81744163821124, 15.090945450306906";"65.88507594686634, 15.15855715822199";"";"http://localhost:3001/images/kungsleden2.jpg"
27;1;5;"STF Syter fjällstuga";"Viterskalet";"Syter";12.0;3.0;4;2;"65.88507594686634, 15.15855715822199";"65.89276999435059, 15.396639790667484";"";"http://localhost:3001/images/kungsleden3.jpg"
28;1;5;"STF Tärnasjö fjällstuga";"Syter";"Tärnasjö";14.0;4.0;5;3;"65.89276999435059, 15.396639790667484";"65.98888866132997, 15.497300298703815";"";"http://localhost:3001/images/kungsleden1.jpg"
29;1;5;"STF Serve fjällstuga ";"Tärnasjö";"Serve";14.0;4.0;5;4;"65.98888866132997, 15.497300298703815";"65.97235261057872, 15.764223885579597";"";"http://localhost:3001/images/kungsleden2.jpg"
30;1;5;"STF Aigert fjällstuga";"Serve";"Aigert";19.0;5.0;7;5;"65.97235261057872, 15.764223885579597";"65.94139646279034, 16.09469672437531";"";"http://localhost:3001/images/kungsleden3.jpg"
31;1;5;"STF Ammarnäs Wärdshus hotell och vandrarhem";"Aigert";"Ammarnäs";8.0;2.0;3;6;"65.94139646279034, 16.09469672437531";"65.9603914254623, 16.21200992938912";"";"http://localhost:3001/images/kungsleden1.jpg"
32;8;0;"Storulvån";"Storulvån";"Sylarna";16.0;5.0;7;1;"63.169066325663366, 12.362953539094129";"63.04256156338671, 12.273469759898415";"";"http://localhost:3001/images/jamtland.jpeg"
33;8;0;"Sylarna";"Sylarna";"Blåhammaren";19.0;6.0;8;2;"63.04256156338671, 12.273469759898415";"63.18605462600171, 12.173820214105168";"";"http://localhost:3001/images/jamtland.jpeg"
34;8;0;"Blåhammaren";"Blåhammaren";"Storulvån";12.0;4.0;5;3;"63.18605462600171, 12.173820214105168";"63.169066325663366, 12.362953539094129";"";"http://localhost:3001/images/jamtland.jpeg"
39;3;0;"Helags Fjällstation";"Kläppen";"Helags Fjällstation";14.0;4.0;6;1;"62.9396,12.5110";"62.9835,12.5110";"";"http://localhost:3001/images/jamtland.jpeg"
40;3;0;"Helags Fjällstation";"Helags Fjällstation";"Helags Topp";10.0;3.0;5;2;"62.9835,12.5110";"62.9814,12.4951";"";"http://localhost:3001/images/jamtland.jpeg"
